user_id,sample_interval_min,interpolation_method,taxi
ogijtr,15,linear,2015
ogijtr,15,nearest,1177
ogikli,15,linear,2014
ogikli,15,nearest,1002
ogjoch,15,linear,2015
ogjoch,15,nearest,1201
ognoww,15,linear,2007
ognoww,15,nearest,985
ogofvo,15,linear,930
ogofvo,15,nearest,618
ogphag,15,linear,2015
ogphag,15,nearest,1163
ogshtc,15,linear,2015
ogshtc,15,nearest,1020
ogurju,15,linear,2015
ogurju,15,nearest,990
oiphye,15,linear,1954
oiphye,15,nearest,932
oipial,15,linear,2012
oipial,15,nearest,1182
oirzgo,15,linear,1986
oirzgo,15,nearest,884
oivnab,15,linear,2011
oivnab,15,nearest,1277
ojachm,15,linear,2014
ojachm,15,nearest,1047
ojbaso,15,linear,2014
ojbaso,15,nearest,1187
ojfann,15,linear,2015
ojfann,15,nearest,1196
ojfequ,15,linear,2015
ojfequ,15,nearest,728
ojfiez,15,linear,1980
ojfiez,15,nearest,775
ojpoot,15,linear,2016
ojpoot,15,nearest,1127
ojroig,15,linear,2015
ojroig,15,nearest,1243
ojumna,15,linear,1988
ojumna,15,nearest,1059
ojvigh,15,linear,2014
ojvigh,15,nearest,1185
ojwyky,15,linear,1982
ojwyky,15,nearest,1293
okavka,15,linear,2014
okavka,15,nearest,1170
okblah,15,linear,2015
okblah,15,nearest,1361
okchym,15,linear,2015
okchym,15,nearest,798
okneyd,15,linear,1213
okneyd,15,nearest,512
oknsco,15,linear,2015
oknsco,15,nearest,1053
okquak,15,linear,2015
okquak,15,nearest,1257
oksbos,15,linear,2015
oksbos,15,nearest,803
oktuls,15,linear,2015
oktuls,15,nearest,982
okvats,15,linear,2014
okvats,15,nearest,605
oljnek,15,linear,1997
oljnek,15,nearest,1327
omcuky,15,linear,1980
omcuky,15,nearest,1086
omdrid,15,linear,587
omdrid,15,nearest,404
omluaj,15,linear,2013
omluaj,15,nearest,1115
omwyek,15,linear,2015
omwyek,15,nearest,1117
onanns,15,linear,254
onanns,15,nearest,162
oncalk,15,linear,2015
oncalk,15,nearest,1060
oncixp,15,linear,2013
oncixp,15,nearest,1102
onghoj,15,linear,2015
onghoj,15,nearest,943
onkawc,15,linear,2015
onkawc,15,nearest,930
ononma,15,linear,2015
ononma,15,nearest,1186
onvahe,15,linear,2015
onvahe,15,nearest,1271
onwohy,15,linear,2014
onwohy,15,nearest,474
onyacj,15,linear,2014
onyacj,15,nearest,1162
onyenr,15,linear,2015
onyenr,15,nearest,890
oocsod,15,linear,2015
oocsod,15,nearest,1112
oogchy,15,linear,2015
oogchy,15,nearest,1052
ootquo,15,linear,2015
ootquo,15,nearest,585
ootyec,15,linear,2015
ootyec,15,nearest,1314
oowfmu,15,linear,178
oowfmu,15,nearest,75
opgove,15,linear,2015
opgove,15,nearest,867
ophgir,15,linear,1982
ophgir,15,nearest,1005
ophugb,15,linear,2015
ophugb,15,nearest,1143
opjerm,15,linear,2014
opjerm,15,nearest,1003
opmisa,15,linear,2014
opmisa,15,nearest,1234
opnown,15,linear,2015
opnown,15,nearest,791
oquiat,15,linear,2015
oquiat,15,nearest,1171
orkbat,15,linear,2015
orkbat,15,nearest,1037
orocdu,15,linear,1253
orocdu,15,nearest,666
orptme,15,linear,2014
orptme,15,nearest,1091
orrrar,15,linear,2015
orrrar,15,nearest,1134
orsyal,15,linear,2015
orsyal,15,nearest,980
osacmu,15,linear,748
osacmu,15,nearest,398
osckro,15,linear,2015
osckro,15,nearest,1233
oshyon,15,linear,2015
oshyon,15,nearest,1286
osocce,15,linear,2015
osocce,15,nearest,1273
otasfi,15,linear,2015
otasfi,15,nearest,1273
otfaho,15,linear,2013
otfaho,15,nearest,737
otmego,15,linear,1982
otmego,15,nearest,329
otscok,15,linear,2015
otscok,15,nearest,1362
otswra,15,linear,1652
otswra,15,nearest,1221
otvasd,15,linear,2015
otvasd,15,nearest,1216
ouvdan,15,linear,1984
ouvdan,15,nearest,935
ovkojy,15,linear,1985
ovkojy,15,nearest,1269
ovnacg,15,linear,2012
ovnacg,15,nearest,653
ovyijn,15,linear,2015
ovyijn,15,nearest,1084
owbsus,15,linear,2015
owbsus,15,nearest,1212
owgves,15,linear,2014
owgves,15,nearest,1163
owhagm,15,linear,1673
owhagm,15,nearest,556
owufre,15,linear,2012
owufre,15,nearest,569
oxdogh,15,linear,1897
oxdogh,15,nearest,1221
oyclsd,15,linear,2015
oyclsd,15,nearest,552
oydtes,15,linear,2015
oydtes,15,nearest,1285
oygmeb,15,linear,2014
oygmeb,15,nearest,849
oygvar,15,linear,1983
oygvar,15,nearest,432
ubgiho,15,linear,2015
ubgiho,15,nearest,930
ubjajo,15,linear,2015
ubjajo,15,nearest,1237
ubjaju,15,linear,1982
ubjaju,15,nearest,995
ubnank,15,linear,2015
ubnank,15,nearest,1011
ubzach,15,linear,1722
ubzach,15,nearest,918
ucbiya,15,linear,2015
ucbiya,15,nearest,1131
ucdewy,15,linear,1258
ucdewy,15,nearest,396
ucgewf,15,linear,2015
ucgewf,15,nearest,1229
uchjaf,15,linear,2012
uchjaf,15,nearest,1089
ucovla,15,linear,2014
ucovla,15,nearest,1060
ucvepn,15,linear,1973
ucvepn,15,nearest,1051
udguic,15,linear,2012
udguic,15,nearest,1043
udthon,15,linear,1989
udthon,15,nearest,1007
udtiog,15,linear,2014
udtiog,15,nearest,1191
udveoy,15,linear,2012
udveoy,15,nearest,1117
udwadl,15,linear,2015
udwadl,15,nearest,703
udwebi,15,linear,1871
udwebi,15,nearest,491
udwiul,15,linear,2015
udwiul,15,nearest,1191
ufdoyn,15,linear,2015
ufdoyn,15,nearest,1093
ugatna,15,linear,2014
ugatna,15,nearest,1355
ugdifb,15,linear,1969
ugdifb,15,nearest,755
uggdye,15,linear,2015
uggdye,15,nearest,1224
ugifma,15,linear,2015
ugifma,15,nearest,1023
ugthfu,15,linear,1979
ugthfu,15,nearest,849
ujhuki,15,linear,2014
ujhuki,15,nearest,1010
ujkiwe,15,linear,1999
ujkiwe,15,nearest,1065
ujnaww,15,linear,2015
ujnaww,15,nearest,1004
ujtosh,15,linear,1380
ujtosh,15,nearest,772
ujtrud,15,linear,2015
ujtrud,15,nearest,1282
ukgoaf,15,linear,2013
ukgoaf,15,nearest,1182
uklsdr,15,linear,2015
uklsdr,15,nearest,1251
uljior,15,linear,2015
uljior,15,nearest,765
umhenw,15,linear,2015
umhenw,15,nearest,709
umsmth,15,linear,2015
umsmth,15,nearest,1241
umvohu,15,linear,2015
umvohu,15,nearest,1203
